N,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
1,13.2077279091,13.8155729771,13.4148869514,13.2033450603,12.8863220215,13.1750569344,13.1386098862,13.4810149670,14.3187758923,13.4510641098,13.2563772202,13.1660530567,13.3809459209,13.0394968987,12.9700770378,13.5678870678,13.3713650703,13.6140348911,13.0971601009,12.9464831352,13.0314440727,13.3338389397,12.8634121418,12.9135138988,12.7053229809,13.5092229843,13.1562991142,13.1705410480,13.1178359985,13.0820040703,13.2448229790,13.5579009056,13.4279720783,13.4494578838,12.9694249630,12.7408740520,13.1472940445,13.2151131630,13.1838979721,13.0558347702,13.4694161415,12.9560790062,14.0623681545,13.5163209438,13.2614328861,12.8470399380,13.2203381062,13.2025790215,13.5306267738,12.9821479321
2,6.7887940407,6.6035981178,6.5886809826,6.7705571651,6.5870349407,6.6821658611,6.8044040203,6.7693290710,6.8209769726,6.7407038212,6.8065180779,6.7675540447,6.7525069714,6.5141088963,6.4871180058,6.9018130302,6.7577619553,6.6848309040,6.7846190929,6.8917741776,6.6434359550,6.6218669415,6.6845510006,6.9192168713,6.9526848793,7.0930118561,7.0252292156,6.7126288414,6.8533160686,6.6976699829,6.5867600441,6.6382498741,6.5135381222,6.9003930092,6.5630462170,6.6011989117,6.7143130302,6.6261758804,6.5821878910,6.6550979614,6.7517299652,7.5642669201,6.6193799973,6.6814899445,6.6966228485,6.5949330330,6.7823879719,6.6380569935,6.8970189095,6.7761459351
3,4.4672770500,4.4352929592,4.4380779266,4.3762819767,4.6018059254,4.5366179943,4.6965880394,4.5679697990,4.5330309868,4.3539710045,4.4765021801,4.5434789658,4.5754811764,4.5238699913,4.3993608952,4.5422620773,4.5150380135,4.6477739811,4.5667319298,4.4581091404,4.5440359116,4.7320821285,4.4967589378,4.4872519970,4.6265060902,4.6141560078,4.5129361153,4.7507519722,4.5052928925,4.6370089054,4.4213430882,4.4443809986,4.6626110077,4.6431248188,4.7792098522,4.6217358112,4.4798030853,4.5271439552,4.4758160114,4.5661149025,4.5203368664,4.5398211479,4.6324629784,4.6528010368,4.4328191280,4.5348169804,4.5495622158,4.4562399387,4.4825830460,4.6550920010
4,3.4424018860,3.3695609570,3.4366619587,3.5062868595,3.4648530483,3.7251360416,3.5163450241,3.4252510071,3.4747018814,3.4379549026,3.5009489059,3.4566948414,3.4076678753,3.3899021149,3.3968379498,3.4553349018,3.4218978882,3.4300448895,3.4335458279,3.3840661049,3.4054849148,3.4735360146,3.4814739227,3.5105619431,3.4248220921,3.4751751423,3.5208981037,3.3441629410,3.4907610416,3.3869509697,3.4118180275,3.4052150249,3.3977060318,3.4605250359,3.4551701546,3.7707169056,3.4047000408,3.8192410469,3.3805470467,3.4899768829,3.5119960308,3.4207470417,3.4255580902,3.4302370548,3.4502530098,3.4110879898,3.4825179577,3.4097888470,3.3648090363,3.5057590008
5,2.8712699413,2.9166290760,2.8645401001,2.9046199322,2.9025299549,2.8830199242,2.8401620388,2.9321660995,2.8163390160,2.8943319321,2.8655459881,2.8721430302,2.9093949795,2.8892719746,2.9080190659,2.8904669285,2.8278610706,2.8852231503,2.8717889786,2.8044610023,2.7887880802,2.7673759460,2.8032259941,3.0814380646,3.1354811192,2.9637529850,2.8780419827,2.9456169605,2.7721219063,2.7801058292,2.8899159431,2.8036599159,3.1946549416,2.9545300007,2.8137869835,2.9307289124,2.9880678654,2.9984891415,2.8751001358,3.0122470856,3.1109349728,3.0355510712,2.9616279602,2.9692590237,2.8619618416,3.1249830723,2.9756700993,2.8967099190,2.9793119431,2.9679961205
6,2.3877179623,2.4365139008,2.4192550182,2.3915221691,2.5211319923,2.4004728794,2.3930180073,2.4181358814,2.3840029240,2.3946449757,2.4171299934,2.3991100788,2.3989799023,2.4173779488,2.4123940468,2.3948729038,2.3709051609,2.4032499790,2.4955189228,2.4466898441,2.3601629734,2.4441192150,2.4441859722,2.4943089485,2.3735048771,2.4517531395,2.4964551926,2.5330960751,2.4978899956,2.3088510036,2.4765510559,2.7145261765,2.8001360893,2.4497931004,2.3800330162,2.4803159237,2.5029919147,2.4302990437,2.4451019764,2.4717648029,2.5658700466,2.6133780479,2.5544748306,2.4575440884,2.3910539150,2.4876170158,2.4634130001,2.4433500767,2.3300988674,2.5426111221
7,2.2810070515,2.2710700035,2.2335278988,2.1956951618,2.2641019821,2.2431650162,2.2652950287,2.2984309196,2.2400641441,2.2328529358,2.3128011227,2.3939230442,2.2288649082,2.2532339096,2.2910630703,2.2851810455,2.2557659149,2.2597558498,3.4900979996,2.2164499760,2.2244830132,2.7008888721,2.2555539608,2.2426209450,2.2333669662,2.2064909935,2.2830569744,2.2198030949,2.2269561291,2.2431190014,2.2295229435,2.3460581303,2.3114581108,2.2777318954,2.2337810993,2.2362899780,2.3179609776,2.3606479168,2.2779951096,2.2072498798,2.2586829662,2.6582717896,2.2797560692,2.2248361111,2.2729029655,2.2407231331,2.2781438828,2.2697770596,2.2592470646,2.2455499172
8,1.9701001644,1.9847211838,1.9665200710,1.9352900982,1.9706079960,2.0215260983,1.9473059177,2.0689880848,1.9968068600,1.9877669811,1.9622390270,1.9756128788,1.9901318550,1.9928750992,1.9524238110,1.9555799961,1.9888010025,1.9700531960,1.9884600639,1.9645240307,1.9830470085,1.9902708530,1.9748518467,1.9913139343,1.9708900452,1.9818379879,2.1982390881,2.0123889446,1.9787540436,1.9703340530,4.5199370384,4.8718981743,1.9788630009,1.9856209755,1.9436209202,1.9558861256,2.5738990307,4.8851721287,2.0440089703,2.0198199749,1.9750931263,1.9668960571,1.9793989658,1.9545900822,1.8995389938,2.0054039955,1.9952600002,1.9876589775,1.9638721943,1.9226830006
9,1.7294399738,1.7354199886,1.7690711021,1.7998979092,1.7499420643,1.8362929821,1.7462329865,1.7647840977,1.7448160648,1.8286869526,1.8968060017,1.7833251953,1.7496111393,1.7143738270,1.7532348633,1.7699949741,1.8118209839,1.7320690155,1.7556200027,1.7725441456,1.7840321064,1.7880520821,1.7708439827,1.7585599422,1.7467880249,1.7341639996,1.8533058167,1.7936530113,1.7066760063,1.7013170719,1.7325778008,1.8759140968,1.7312679291,1.7645239830,1.7478649616,1.7324309349,1.7714450359,1.7500219345,1.7604799271,1.7607960701,1.7720608711,1.8318250179,1.8073070049,2.4820508957,1.7628040314,1.7506709099,1.7857229710,1.7508320808,1.7464649677,1.7453589439
10,1.8089089394,1.6325941086,1.6420040131,1.6783928871,1.6323778629,1.5956771374,1.6052370071,1.6213779449,1.6390368938,1.7299680710,1.6194930077,1.6301128864,1.5770809650,1.6157848835,1.6012661457,1.6847448349,1.7543530464,1.6332159042,1.6573181152,1.6170039177,1.5972859859,1.6390058994,1.6655509472,1.6292440891,1.6486780643,1.6207780838,1.6718461514,1.6427490711,1.6001150608,1.6648299694,1.6440100670,1.6215548515,1.6675889492,1.7856500149,1.6330239773,1.6994259357,1.7287619114,1.6226570606,1.6489231586,1.6035230160,1.6329531670,1.6357901096,1.6398880482,1.6498088837,1.6566319466,1.6125309467,1.6111140251,1.5793750286,1.6250879765,1.6495189667
